timestamp,people_count,room
2025-11-25 09:00:12,8,lobby
2025-11-25 09:01:05,10,lobby
2025-11-25 09:01:55,12,lobby
2025-11-25 09:02:33,9,lobby
2025-11-25 09:03:20,11,lobby
2025-11-25 09:04:44,13,lobby
2025-11-25 09:05:11,7,lobby
2025-11-25 09:05:58,10,lobby
2025-11-25 09:07:12,14,lobby
2025-11-25 09:08:45,12,lobby
2025-11-25 09:09:32,9,lobby
2025-11-25 09:10:21,15,lobby
2025-11-25 09:11:03,11,lobby
2025-11-25 09:12:25,13,lobby
2025-11-25 09:13:12,8,lobby
2025-11-25 09:14:48,10,lobby
2025-11-25 09:15:33,12,lobby
2025-11-25 09:16:57,7,lobby
2025-11-25 09:17:44,14,lobby
2025-11-25 09:18:30,9,lobby
2025-11-25 10:00:14,12,lobby
2025-11-25 10:01:22,14,lobby
2025-11-25 10:02:38,16,lobby
2025-11-25 10:03:11,11,lobby
2025-11-25 10:04:59,15,lobby
2025-11-25 10:05:44,18,lobby
2025-11-25 10:06:52,10,lobby
2025-11-25 10:07:33,13,lobby
2025-11-25 10:08:47,17,lobby
2025-11-25 10:09:55,14,lobby
2025-11-25 10:10:42,19,lobby
2025-11-25 10:11:39,16,lobby
2025-11-25 10:12:17,12,lobby
2025-11-25 10:13:58,18,lobby
2025-11-25 10:14:41,15,lobby
2025-11-25 10:15:25,17,lobby
2025-11-25 10:16:50,13,lobby
2025-11-25 10:17:36,11,lobby
2025-11-25 10:18:44,16,lobby
2025-11-25 10:19:57,14,lobby
2025-11-25 11:00:21,15,lobby
2025-11-25 11:01:33,18,lobby
2025-11-25 11:02:57,20,lobby
2025-11-25 11:03:44,13,lobby
2025-11-25 11:04:25,17,lobby
2025-11-25 11:05:56,19,lobby
2025-11-25 11:06:41,14,lobby
2025-11-25 11:07:22,16,lobby
2025-11-25 11:08:19,21,lobby
2025-11-25 11:09:03,18,lobby
2025-11-25 11:10:15,20,lobby
2025-11-25 11:11:48,17,lobby
2025-11-25 11:12:56,15,lobby
2025-11-25 11:13:31,22,lobby
2025-11-25 11:14:40,19,lobby
2025-11-25 11:15:55,18,lobby
2025-11-25 11:16:42,16,lobby
2025-11-25 11:17:29,14,lobby
2025-11-25 11:18:18,20,lobby
2025-11-25 11:19:57,17,lobby
2025-11-25 12:00:31,22,lobby
2025-11-25 12:01:11,24,lobby
2025-11-25 12:02:55,26,lobby
