timestamp,people_count
2025-12-01 09:04:18,10
2025-12-01 09:04:23,11
2025-12-01 09:04:28,5
2025-12-01 09:04:33,6
2025-12-01 10:17:06,15
2025-12-01 10:17:07,2
2025-12-01 10:17:12,2
2025-12-01 10:17:17,3
2025-12-01 10:17:23,3
2025-12-01 10:17:28,6
2025-12-01 10:17:34,5
2025-12-01 10:19:18,4
2025-12-01 10:19:24,4
2025-12-01 10:19:30,6
2025-12-01 10:19:34,6
2025-12-01 10:19:40,5
2025-12-01 10:19:45,2
2025-12-01 10:19:50,4
2025-12-01 10:19:56,4
2025-12-01 10:20:01,4
2025-12-01 10:20:06,4
2025-12-01 10:20:12,2
2025-12-01 10:20:17,1
2025-12-01 10:20:22,1
2025-12-01 10:20:27,1
2025-12-01 10:20:32,1
2025-12-01 10:20:37,1
2025-12-01 10:20:42,1
2025-12-01 10:20:48,2
2025-12-01 10:20:53,3
2025-12-01 11:20:58,3
2025-12-01 11:21:03,2
2025-12-01 11:21:09,0
2025-12-01 11:21:14,0
2025-12-01 11:21:19,0
2025-12-01 11:21:25,0
2025-12-01 11:21:30,0
2025-12-01 11:21:35,1
2025-12-01 11:21:41,1
2025-12-01 11:21:46,1
2025-12-01 11:21:51,1
2025-12-01 11:21:56,1
